date_time;nox;no2;no;siteid;pm10;nvpm10;vpm10;nvpm25;pm25;vpm25;co;o3;so2;temp;rh;press;location;geo_point_2d;datestart;dateend;current;instrumenttype
2020-11-06T10:00:00+00:00;244.4863;81.9851;105.9806;500;64.735;;;;;;;;;5.9;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-06T15:00:00+00:00;212.3544;79.9368;86.3606;500;47.344;;;;;;;;;7.2;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-06T17:00:00+00:00;276.6689;89.5538;122.0333;500;58.938;;;;;;;;;5.7;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-06T19:00:00+00:00;198.9239;82.5177;75.9182;500;54.107;;;;;;;;;5.4;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-07T12:00:00+00:00;83.9788;33.9555;32.6244;500;32.851;;;;;;;;;9.0;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-08T00:00:00+00:00;100.4164;45.1885;36.0187;500;47.344;;;;;;;;;9.1;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-08T02:00:00+00:00;48.9581;34.2892;9.5668;500;44.445;;;;;;;;;9.2;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-09T02:00:00+00:00;35.9837;30.0167;3.8916;500;14.493;;;;;;;;;9.1;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-09T04:00:00+00:00;32.8921;26.4776;4.1834;500;13.527;;;;;;;;;10.2;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-09T05:00:00+00:00;36.7439;28.6387;5.2861;500;13.527;;;;;;;;;10.5;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
